

-------THE SECURE LOOP FRAME OUTPUT-------

Requested Action	: Analyse Secure Loop Frames
Generated on	: Thu Apr 14 19:17:39 2011
Line Number	      : 1
Time Slot Number  : 31
Sub Channel Number: 0
Direction         : R1(Receieved)

-----------------------------------------------------------------------------------------------------------------------
Date Time		Line&TS	Message Name
-----------------------------------------------------------------------------------------------------------------------
16:13:52.87564700 L1R1TS31SC0 ECHO          MSG
16:13:53.04561500 L1R1TS31SC0 ECHO          MSG
16:13:53.21558200 L1R1TS31SC0 ECHO          MSG
16:13:53.38554900 L1R1TS31SC0 ECHO          MSG
16:13:53.55501700 L1R1TS31SC0 ECHO          MSG
16:13:53.72498500 L1R1TS31SC0 ECHO          MSG
16:13:53.89495200 L1R1TS31SC0 ECHO          MSG
16:13:54.06492000 L1R1TS31SC0 ECHO          MSG
16:13:54.23488800 L1R1TS31SC0 ECHO          MSG
16:13:54.40435600 L1R1TS31SC0 ECHO          MSG
16:13:54.57432300 L1R1TS31SC0 ECHO          MSG
16:13:54.74429000 L1R1TS31SC0 ECHO          MSG
16:13:54.91425700 L1R1TS31SC0 ECHO          MSG
16:13:55.08422500 L1R1TS31SC0 ECHO          MSG
16:13:55.25369300 L1R1TS31SC0 ECHO          MSG
16:13:55.42366100 L1R1TS31SC0 ECHO          MSG
16:13:55.59362800 L1R1TS31SC0 ECHO          MSG
16:13:55.76359600 L1R1TS31SC0 ECHO          MSG
16:13:55.93356200 L1R1TS31SC0 ECHO          MSG
16:13:56.10403000 L1R1TS31SC0 ECHO          MSG
16:13:56.27299800 L1R1TS31SC0 ECHO          MSG
16:13:56.44296500 L1R1TS31SC0 ECHO          MSG
16:13:56.61343300 L1R1TS31SC0 ECHO          MSG
16:13:56.78290100 L1R1TS31SC0 ECHO          MSG
16:13:56.95286700 L1R1TS31SC0 ECHO          MSG
16:13:57.12283500 L1R1TS31SC0 ECHO          MSG
16:13:57.29580200 L1R1TS31SC0 ECHO          MSG
16:13:57.46227000 L1R1TS31SC0 ECHO          MSG
16:13:57.63223700 L1R1TS31SC0 ECHO          MSG
16:13:57.80220500 L1R1TS31SC0 ECHO          MSG
16:13:57.97217200 L1R1TS31SC0 ECHO          MSG
16:13:58.14213900 L1R1TS31SC0 ECHO          MSG
16:13:58.31160600 L1R1TS31SC0 ECHO          MSG
16:13:58.48157300 L1R1TS31SC0 ECHO          MSG
16:13:58.65154100 L1R1TS31SC0 ECHO          MSG
16:13:58.82100800 L1R1TS31SC0 ECHO          MSG
16:13:58.99097600 L1R1TS31SC0 ECHO          MSG
16:13:59.16094300 L1R1TS31SC0 ECHO          MSG
16:13:59.33091100 L1R1TS31SC0 ECHO          MSG
16:13:59.50087800 L1R1TS31SC0 ECHO          MSG
16:13:59.67184400 L1R1TS31SC0 ECHO          MSG
16:13:59.84031200 L1R1TS31SC0 ECHO          MSG
16:14:00.01027900 L1R1TS31SC0 ECHO          MSG
16:14:00.18624600 L1R1TS31SC0 ECHO          MSG
16:14:00.36071200 L1R1TS31SC0 ECHO          MSG
16:14:00.53018000 L1R1TS31SC0 ECHO          MSG
16:14:00.69964700 L1R1TS31SC0 ECHO          MSG
16:14:00.76563500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.88361200 L1R1TS31SC0 CONF_PCM_REQ  MSG No_of_Bytes:5 No_of_TEI:3 TEI0=0  TEI1=3  TEI2=7  BTS PCM Port(0/1)=0
16:14:00.95709700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:01.13656300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:01.31652900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:01.49649400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:01.67745900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:01.85692500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:02.03589000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:02.21585500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:02.39582100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:02.57578600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:02.75525200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:02.93871600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:03.11518200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:03.29864700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:03.47511400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:03.65457900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:03.83454400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:04.01451000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:04.19447500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:04.37694000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:04.56390300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:04.74387000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:04.92383500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:05.10429900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:05.28326500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:05.46323100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:05.64319600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:05.82316100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:06.00362700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:06.18959100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:06.37555600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:06.56252000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:06.74248500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:06.92245000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:07.10291600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:07.28188100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:07.46184600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:07.64181300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:07.82177800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.00124200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.18620800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.37417100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.56113500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.74060100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.92056600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.10153100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.28049700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.46046300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.63992800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.81989400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:00.99985900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:10.18482300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:10.37228800 L1R1TS31SC0 CAVA_REQ      MSG
